Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
vaa,1,14,3,1,3,30,15,47,1,2,2,0,0,0,3,0,7,-4,4,19,0.403741
kyaa,1,14,4,2,1,47,30,15,2,1,2,0,0,0,2,0,7,-3,3,19,0.438849
thma,1,14,5,2,2,15,25,30,2,1,1,0,0,0,2,0,7,-2,3,19,0.281241
di,1,14,6,3,1,30,34,25,1,1,1,0,0,0,2,0,7,-1,2,19,0.208364
na,1,14,7,3,2,25,36,34,1,1,1,0,0,0,2,1,7,0,2,19,0.287885
pa,1,14,8,4,1,34,30,36,1,1,1,0,0,0,3,0,7,1,3,19,0.213413
thi,1,14,9,4,2,36,16,30,1,2,1,0,0,0,3,0,7,2,3,19,0.250432
khee,1,14,10,4,3,30,25,16,1,2,2,0,0,0,3,0,7,3,3,19,0.474733
daa,1,14,11,5,1,16,34,25,2,2,2,0,0,0,2,0,7,4,4,19,0.400231
nam,1,14,12,5,2,25,36,34,2,1,2,0,0,0,2,0,7,5,4,19,0.435337
pa,1,14,13,6,1,34,30,36,2,1,1,0,0,0,2,0,7,6,2,19,0.244
thi,1,14,14,6,2,36,22,30,1,1,1,0,0,0,2,0,7,7,2,19,0.281241
ja,1,14,1,1,1,30,17,22,1,1,1,0,0,0,3,0,7,-6,3,20,0.250432
ga,1,14,2,1,2,22,30,17,1,1,1,0,0,0,3,0,7,-5,3,20,0.240232
thi,1,14,3,1,3,17,20,30,1,1,1,0,0,0,3,0,7,-4,3,20,0.161934
cha,1,14,4,2,1,30,42,20,1,2,1,0,0,0,2,0,7,-3,3,20,0.25811
raa,1,14,5,2,2,20,20,42,1,1,2,0,0,0,2,0,7,-2,3,20,0.403946
cha,1,14,6,3,1,42,42,20,2,1,1,0,0,0,2,0,7,-1,2,20,0.250909
ra,1,14,7,3,2,20,22,42,1,2,1,0,0,0,2,1,7,0,2,20,0.212188
jaa,1,14,8,4,1,42,30,22,1,1,2,0,0,0,3,0,7,1,4,20,0.42708
thi,1,14,9,4,2,22,15,30,2,1,1,0,0,0,3,0,7,2,4,20,0.206422
ka,1,14,10,4,3,30,44,15,1,2,1,0,0,0,3,0,7,3,4,20,0.221506
laa ,1,14,11,5,1,15,41,44,1,2,2,0,0,0,2,0,7,4,4,20,0.433412
yu,1,14,12,5,2,44,44,41,2,2,2,0,1,0,2,0,7,5,4,20,0.421322
lloo,1,14,13,6,1,41,42,44,2,2,2,0,0,1,2,0,7,6,4,20,0.494872
rum,1,14,14,6,2,44,1,42,2,1,2,1,0,0,2,0,7,7,4,20,0.474872
a,1,14,1,1,1,42,17,1,2,1,1,0,0,0,3,0,7,-6,3,18,0.213616
ga,1,14,2,1,2,1,30,17,1,1,1,0,0,0,3,0,7,-5,3,18,0.215613
thi,1,14,3,1,3,17,41,30,1,2,1,0,0,0,3,0,7,-4,3,18,0.200176
yaa,1,14,4,2,1,30,41,41,1,1,2,0,0,0,2,0,7,-3,3,18,0.433222
yo,1,14,5,2,2,41,42,41,2,1,1,0,0,0,2,0,7,-2,3,18,0.281241
ra,1,14,6,3,1,41,25,42,1,1,1,0,0,0,2,0,7,-1,2,18,0.173688
di,1,14,7,3,2,42,41,25,1,1,1,0,0,0,2,1,7,0,2,18,0.208522
ya,1,14,8,4,1,25,34,41,1,1,1,0,0,0,3,0,7,1,3,18,0.281241
ne,1,14,9,4,2,41,34,34,1,1,1,0,0,0,3,0,7,2,3,18,0.250432
nu,1,14,10,4,3,34,17,34,1,1,1,0,0,0,3,0,7,3,3,18,0.250432
gra,1,14,11,5,1,34,51,17,1,2,1,0,0,0,2,0,7,4,3,18,0.250432
hi,1,14,12,5,2,17,15,51,1,2,2,0,1,0,2,0,7,5,3,18,0.416845
kkee,1,14,13,6,1,51,34,15,2,2,2,0,0,1,2,0,7,6,4,18,0.443313
nam,1,14,14,6,2,15,1,34,2,1,2,1,0,0,2,0,7,7,4,18,0.423313
a,1,14,1,1,1,34,15,1,2,1,1,0,0,0,3,0,7,-6,4,22,0.151272
ka,1,14,2,1,2,1,40,15,1,2,1,0,0,0,3,0,7,-5,4,22,0.192941
mee,1,14,3,1,3,15,50,40,1,1,2,0,0,0,3,0,7,-4,4,22,0.474971
su,1,14,4,2,1,40,16,50,2,1,1,0,0,0,2,0,7,-3,2,22,0.250432
kha,1,14,5,2,2,50,40,16,1,2,1,0,0,0,2,0,7,-2,2,22,0.241847
mee,1,14,6,3,1,16,24,40,1,2,2,0,0,0,2,0,7,-1,4,22,0.484871
njaa,1,14,7,3,2,40,34,24,2,1,2,0,0,0,2,1,7,0,4,22,0.567309
na,1,14,8,4,1,24,34,34,2,1,1,0,0,0,3,0,7,1,4,22,0.250432
ni,1,14,9,4,2,34,48,34,1,2,1,0,0,0,3,0,7,2,4,22,0.250432
sham,1,14,10,4,3,34,47,48,1,2,2,0,0,0,3,0,7,3,4,22,0.433412
va,1,14,11,5,1,48,34,47,2,2,2,0,1,0,2,0,7,4,4,22,0.472971
nni,1,14,12,5,2,47,15,34,2,2,2,0,1,1,2,0,7,5,4,22,0.433322
kku,1,14,13,6,1,34,34,15,2,2,2,1,1,1,2,0,7,6,4,22,0.433313
nnen,1,14,14,6,2,15,1,34,2,1,2,1,0,1,2,0,7,7,4,22,0.494872
a,1,14,1,1,1,34,17,1,2,1,1,1,0,0,3,0,7,-6,4,20,0.250432
gra,1,14,2,1,2,1,22,17,1,2,1,0,0,0,3,0,7,-5,4,20,0.189872
jan,1,14,3,1,3,17,40,22,1,1,2,0,0,0,3,0,7,-4,4,20,0.500213
ma,1,14,4,2,1,22,40,40,2,1,1,0,0,0,2,0,7,-3,2,20,0.159038
ma,1,14,5,2,2,40,50,40,1,1,1,0,0,0,2,0,7,-2,2,20,0.200176
sa,1,14,6,3,1,40,30,50,1,2,1,0,0,0,2,0,7,-1,3,20,0.29176
tham,1,14,7,3,2,50,47,30,1,1,2,0,0,0,2,1,7,0,3,20,0.628589
vi,1,14,8,4,1,30,25,47,2,2,1,0,0,0,3,0,7,1,5,20,0.192823
duu,1,14,9,4,2,47,48,25,1,2,2,0,0,0,3,0,7,2,5,20,0.424312
shaa,1,14,10,4,3,25,40,48,2,1,2,0,0,0,3,0,7,3,5,20,0.404087
